City,State,2010 Population,CBSA Code,CO ,Pb,NO2,NO2,O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Houma-Thibodaux,LA,208178,26380,,,,,0.059,,7.4,17,
Houston-The Woodlands-Sugar Land,TX,5920416,26420,2,,18,59,0.084,140,11.8,27,14
Huntsville,AL,417593,26620,,,,,0.065,66,7.4,16,
Hutchinson,MN,36651,26780,,,,,,,,,
Idaho Falls,ID,133265,26820,,,,,0.06,,,,
Indiana,PA,88880,26860,,,,,0.059,,7.6,15,16
Indianapolis-Carmel-Anderson,IN,1887877,26900,1,,11,43,0.072,100,12.2,31,7
Ionia,MI,63905,26960,,0.06,,,,,,,
Iowa City,IA,152586,26980,,,,,,,7.5,20,
Ithaca,NY,101564,27060,,,,,0.059,,,,
Jackson,MS,567122,27140,1,,,,0.062,102,9.9,26,2
Jackson,TN,130011,27180,,,,,,,8,18,
Jacksonville,FL,1345596,27260,1,,10,42,0.064,66,8.8,19,41
Jacksonville,NC,177772,27340,,,,,,,,,
Jamestown-Dunkirk-Fredonia,NY,134905,27460,,,,,0.071,,5.6,15,
Janesville-Beloit,WI,160331,27500,,,,,0.065,,,,
Jasper,IN,54734,27540,,,,,,46,8.6,21,
Jefferson City,MO,149807,27620,,,,,0.059,,,,
Johnstown,PA,143679,27780,1,,6,34,0.063,31,10.2,23,12
Jonesboro,AR,121026,27860,,,,,,,,,
Joplin,MO,175518,27900,,,,,0.069,132,,,
Juneau,AK,31275,27940,,,,,,38,5.3,23,
Kahului-Wailuku-Lahaina,HI,154924,27980,,,,,,,4,8,
Kalamazoo-Portage,MI,326589,28020,,,,,0.068,,10.3,29,
Kalispell,MT,90928,28060,,,,,0.052,114,8.4,30,
Kapaa,HI,67091,28180,,,,,,,,,
Keene,NH,77117,28300,,,,,0.059,,5.9,17,
Kennewick-Richland,WA,253340,28420,,,,,0.064,125,,,
Ketchikan,AK,13477,28540,,,,,,,,,
Killeen-Temple,TX,405300,28660,,,,,0.069,,7,23,
Kingsville,TX,32477,28780,,,,,,,10.1,30,
Kinston,NC,59495,28820,,,,,0.064,,,,
Klamath Falls,OR,66380,28900,,,,,,,8.6,31,
Knoxville,TN,837571,28940,0,0.04,1,,0.068,37,8.7,17,
Kokomo,IN,82752,29020,,,,,0.071,,7.3,18,
Laconia,NH,60088,29060,,,,,0.056,,4.5,11,
Lafayette,LA,466750,29180,,,,,0.065,84,7.9,17,
Lafayette-West Lafayette,IN,201789,29200,,,,,0.066,,7.2,17,
La Grande,OR,25748,29260,,,,,,44,,,
Lake Charles,LA,199607,29340,,,5,29,0.065,104,7.6,23,23
Lake City,FL,67531,29380,,,,,0.062,,,,
Lake Havasu City-Kingman,AZ,200186,29420,,,,,,111,,,
Lakeland-Winter Haven,FL,602095,29460,,,,,0.062,44,7.8,15,
Lancaster,PA,519445,29540,,0.03,,,0.061,29,8.9,25,
Lansing-East Lansing,MI,464036,29620,,,6,37,0.064,,8.7,23,6
Laramie,WY,36299,29660,,,10,,0.067,169,3.9,10,
Laredo,TX,250304,29700,,,,,,111,9.7,29,
Las Cruces,NM,209233,29740,,,8,50,0.08,372,8.3,20,
Las Vegas-Henderson-Paradise,NV,1951269,29820,2,,21,50,0.074,429,10.5,31,4
Laurel,MS,84823,29860,,,,,,,,,
Lawrenceburg,TN,41869,29980,,,,,,,5.4,14,
Lawton,OK,130291,30020,,,,,0.068,,8.1,18,
Lebanon,PA,133568,30140,,,,,0.058,,7.5,21,
Lewiston-Auburn,ME,107702,30340,,,,,0.059,26,4.5,13,
Lexington-Fayette,KY,472099,30460,,,6,43,0.065,27,7.9,18,5
Lima,OH,106331,30620,,,,,0.067,,7.1,17,4
Lincoln,NE,302157,30700,,,,,0.055,,6,15,
Little Rock-North Little Rock-Conway,AR,699757,30780,1,,7,40,0.064,34,9.6,30,6
London,KY,126369,30940,,,,,,,,,
